Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender
Metehan Altunbaş,Eyupspor,FW,0.0,0.0,0.0,FW,True,False
Mete-Kaan Demir,Eyupspor,FW,0.0,0.0,0.0,FW,True,False
Hamza Akman,Eyupspor,MF,,,,MF,True,True
Cengiz Köseer,Eyupspor,GK,,,,GK,False,False
Gilbert Mendy,Eyupspor,DF,,,,DF,False,True
Halil Yeral,Eyupspor,GK,,,,GK,False,False
Jankat Yilmaz,Eyupspor,GK,,,,GK,False,False
Opponent Total,Eyupspor,NAN,,0.91,,NAN,False,False
Atakan Çankaya,Fatihkaragumruk,DF,0.09,0.09,0.18,DF,False,True
Ivo Grbić,Fatihkaragumruk,GK,0.0,0.0,0.0,GK,False,False
Jure Balkovec,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True
Daniel Johnson,Fatihkaragumruk,MF,0.11,0.23,0.34,MF,True,True
Tiago Çukur,Fatihkaragumruk,"MF,FW",0.12,0.0,0.12,MF,True,True
Anıl Çınar,Fatihkaragumruk,DF,0.14,0.0,0.14,DF,False,True
Sergio Antonio De Luiz Junior,Fatihkaragumruk,"MF,FW",0.14,0.0,0.14,MF,True,True
Berkay Özcan,Fatihkaragumruk,MF,0.0,0.15,0.15,MF,True,True
Andre Gray,Fatihkaragumruk,FW,0.0,0.0,0.0,FW,True,False
Sam Larsson,Fatihkaragumruk,MF,0.2,0.41,0.61,MF,True,True
Marius Doh,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
Muhammed Kadıoğlu,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True
Barış Kalayci,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
David Datro Fofana,Fatihkaragumruk,FW,0.74,0.0,0.74,FW,True,False
Çağtay Kurukalıp,Fatihkaragumruk,DF,0.0,0.34,0.34,DF,False,True
Ahmet Sivri,Fatihkaragumruk,"MF,FW",0.0,0.0,0.0,MF,True,True
Matías Kranevitter,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
Ricardo Esgaio,Fatihkaragumruk,"DF,MF",0.0,0.0,0.0,DF,False,True
Enzo Roco,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True
Tarık Kalpaklı,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
Fatih Kuruçuk,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True
Nikoloz Ugrekhelidze,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True
João Pedro Gomes Camacho,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
Alper Demirol,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
Ömer Gümüş,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
Tuğbey Akgün,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True
Furkan Bekleviç,Fatihkaragumruk,GK,,,,GK,False,False
Burhan Ersoy,Fatihkaragumruk,MF,,,,MF,True,True
Kerem Özmen,Fatihkaragumruk,MF,,,,MF,True,True
Kerem Yandal,Fatihkaragumruk,GK,,,,GK,False,False
Opponent Total,Fatihkaragumruk,NAN,,,3.0,NAN,False,False
Date,Fatihkaragumruk,COMP,,,,COMP,False,False
Milan Škriniar,fenerbahce,DF,0.1,0.1,0.1,DF,False,True
Jayden Oosterwolde,fenerbahce,DF,0.0,0.0,0.0,DF,False,True
Youssef En-Nesyri,fenerbahce,FW,1.0,1.0,0.0,FW,True,False
Nélson Semedo,fenerbahce,"DF,MF",0.2,0.2,0.2,DF,False,True
Archie Brown,fenerbahce,DF,0.0,0.0,0.2,DF,False,True
İsmail Yüksek,fenerbahce,MF,0.2,0.2,0.4,MF,True,True
Ederson,fenerbahce,GK,0.0,0.0,0.0,GK,False,False
Kerem Aktürkoğlu,fenerbahce,"FW,MF",,0.9,0.2,FW,True,False
Marco Asensio,fenerbahce,"MF,FW",0.1,0.1,0.2,MF,True,True
Talisca,fenerbahce,MF,0.3,0.3,0.9,MF,True,True
Nene Dorgeles,fenerbahce,"FW,DF",0.1,0.1,0.5,FW,True,False
Fred,fenerbahce,MF,0.4,0.4,0.1,MF,True,True
Edson Álvarez,fenerbahce,MF,0.0,0.0,0.0,MF,True,True
Sebastian Szymański,fenerbahce,"MF,FW",0.1,0.1,0.4,MF,True,True
Oğuz Aydın,fenerbahce,FW,0.0,0.0,0.0,FW,True,False
Çağlar Söyüncü,fenerbahce,DF,0.0,0.0,0.0,DF,False,True
Levent Mercan,fenerbahce,DF,,,,DF,False,True
İrfan Kahveci,fenerbahce,"MF,FW",0.0,0.0,0.0,MF,True,True
Jáder Durán,fenerbahce,FW,0.2,0.2,0.1,FW,True,False
İrfan Can Eğribayat,fenerbahce,GK,,,,GK,False,False
Mert Müldür,fenerbahce,DF,,,,DF,False,True
Tarık Çetin,fenerbahce,GK,,,,GK,False,False
Sofyan Amrabat,fenerbahce,MF,,,,MF,True,True
Yusuf Akçiçek,fenerbahce,DF,,,,DF,False,True
